dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Iris_01,0.030459852676735913,0.00940376828911737,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0919463901038168,0.0,0.0,0.03,0.5089,0.7549494949494949,0.22090975135933977,0.6313362107350609,0.04,0.02,0.5,0.0,0.0
Iris_02,0.019233646604462716,0.004995781056795274,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.07271315159321329,0.0,0.0,0.03,0.5013000000000001,0.7105050505050505,0.2017422455943526,0.5892882934357067,0.04,0.02,0.5,0.0,0.0
Iris_12,0.1863816899350432,0.06447841061392845,0.019145299145299128,0.37,0.13,0.0009836787371854052,0.04,0.0,0.035,0.22636994898433024,0.06999999999999995,0.01,0.19,0.8112,0.8371717171717172,0.2983074518680763,0.709623489426321,0.04,0.03,0.75,0.0,0.0
Wine_01,0.16650328317916893,0.038162138917419305,2.8515818761775186e-05,0.2076923076923077,0.0,0.0,0.0,0.0,0.023076923076923078,0.34574921799465774,0.038461538461538436,0.015384615384615385,0.36153846153846153,0.7798224852071006,0.9210494931425164,0.5871865113230111,0.7841381776975682,0.1,0.07692307692307693,0.7692307692307693,0.006155151565245931,0.016897441915043276
Wine_02,0.0490038230495961,0.00837361993451383,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.2512478819516083,0.0,0.0,0.1308411214953271,0.5336710629749324,0.8783283371539411,0.48400040441546066,0.7253220651738415,0.12149532710280374,0.08411214953271028,0.6923076923076923,0.007637125252723309,0.020916162489196144
Wine_12,0.2261494310119454,0.03398780873584917,3.2547004600688264e-05,0.25210084033613445,0.0,0.0,0.0,0.0,0.02100840336134454,0.32866726155940446,0.04201680672268904,0.008403361344537815,0.33613445378151263,0.7368123720076265,0.929639652471158,0.572713714620522,0.8459683323638474,0.1092436974789916,0.08403361344537816,0.7692307692307693,0.027117072989938262,0.07202178352620847
Digits_01,0.09726610135338461,0.006077541162169478,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0016666666666666668,0.11979931026275743,0.0,0.0,0.10666666666666667,0.6203888888888889,0.9862653288740245,0.5375122860433438,0.9016157411319013,0.21333333333333335,0.06666666666666667,0.3125,0.0001282433591510701,0.0003554923569142332
Digits_17,0.09003152152346623,0.007694392220915375,0.0,0.44,0.0,0.0,0.0,0.0,0.005,0.13822244000600492,0.0,0.0,0.18666666666666668,0.732688888888889,0.9856633221850614,0.4759521042395184,0.9246250773790208,0.21333333333333335,0.07666666666666666,0.359375,3.206012728240726e-05,8.888493844727563e-05
Digits_35,0.08788244740928124,0.007876422948064106,0.0,0.61,0.0,0.0,0.0,0.0,0.0016666666666666668,0.17781603794433695,0.0,0.0,0.37333333333333335,0.7721777777777777,0.9956298773690078,0.6599999999999999,0.9733333333333334,0.21333333333333335,0.08666666666666667,0.40625,0.0,0.0
Digits_49,0.12899719016480427,0.008574747590324788,0.0,0.62,0.0,0.0,0.0,0.0,0.0033333333333333335,0.1462355408961361,0.0033333333333332993,0.0033333333333333335,0.11333333333333333,0.6567111111111111,0.9948272017837235,0.561047619047619,0.98,0.21333333333333335,0.08333333333333333,0.390625,0.0,0.0
Digits_69,0.030561097123265674,0.003448028561065971,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0016666666666666668,0.14272807607254065,0.0,0.0,0.16666666666666666,0.5991666666666666,0.9939130434782608,0.5547248677248677,0.967008601590466,0.21333333333333335,0.08333333333333333,0.390625,0.0,0.0
Breast Cancer,0.24159493475176255,0.06543672011165604,9.290346856588902e-12,0.45,0.0,0.0017135740340130544,0.02,0.006666666666666667,0.03,0.21537103743837074,0.043333333333333335,0.01,0.25666666666666665,0.8783666666666666,0.8943589743589744,0.383616882379326,0.7402820415640046,0.1,0.03,0.3,0.04680282745694431,0.12061476779151348
