dataset,c1,c2,c3,c4,l1,l2,l3,s1,s2,s3,s4,t2,meta_label
Abalone,0.7381669113500567,0.5928499830226204,0.36333333333333334,0.19,0.07778149439543619,0.011856345773051459,0.10350000000000001,0.703483769448355,0.02355,0.00884654249183832,0.009756310862557478,37.5,RY
Airfoil,0.39387769213925566,0.2473919768325717,0.8633333333333333,0.2733333333333333,0.1056027299865827,0.01869034384397536,0.1167867425247374,0.7924781292197922,0.021259219281644384,0.01484585973236009,0.018875813456198345,60.0,RY
Auto MPG,0.876286998286781,0.7177176521361969,0.043333333333333335,0.043333333333333335,0.06733306237294065,0.00807904276911005,0.07106741573033706,0.5812293434361949,0.009638224340361061,0.0066918275505223005,0.003999943394922194,42.857142857142854,RY
Automobile,0.8950573173247562,0.44184897081699476,0.02926829268292683,0.0,0.048928441887028495,0.004531478023225436,0.060881517012379795,1.2880442484689727,0.007958919973326848,0.0031715376345499697,0.0029048037289304534,8.541666666666666,unit
Beijing PM2.5,0.29002671362898363,0.1411184672529135,0.8166666666666667,0.36666666666666664,0.11275940513686199,0.024523637015520572,0.14992492492492493,1.0914053688732324,0.0493925682439196,0.021682134939410205,0.022901038396820443,27.272727272727273,unit
Bias Correction,0.10259567751104531,0.04330190076156395,0.8066666666666666,0.8066666666666666,0.29414491618805877,0.12504793959628197,0.27666666666666667,0.6385792900312196,0.21083333333333334,0.12403638673052522,0.0813415120000683,100.0,RY_CX
Bike Sharing,0.45747909135734155,0.20679714458600962,0.6266666666666667,0.15,0.11610941968888758,0.02430179301897098,0.15257890685142417,1.4790305467139047,0.04847324820833933,0.019042072552197142,0.01723640850779353,23.076923076923077,RY
California Housing,0.6610802928317245,0.19466048640301004,0.61,0.3466666666666667,0.10646315621715406,0.021794464793757937,0.15141763228174313,0.6248809258276937,0.040938031198796986,0.018083618188345953,0.019231521088572113,37.5,unit
Communities Crime,0.7682965968922897,0.3286431910026407,0.5,0.0,0.06371335527395958,0.0074357951846730835,0.12686666666666668,2.9960416016092157,0.03374233333333333,0.005722242553827986,0.012222804788368286,2.3622047244094486,unit
Computer Hardware,0.8940448940033681,0.5880320893074691,0.49282296650717705,0.0,0.02102197010401533,0.0011995736635331824,0.029858299595141698,0.6223048408050951,0.0027281701928078277,0.0008866205968263536,0.0016183281619670312,23.22222222222222,unit
Concrete,0.5806269612215,0.2749115474824563,0.7366666666666667,0.21333333333333335,0.10269531382769753,0.01648948118797656,0.11667487259220867,0.7906768662892865,0.027571011400999865,0.013320808699528784,0.013188739760353835,37.5,HERx
Diabetes,0.5942381440226573,0.3417121365306714,0.49333333333333335,0.3466666666666667,0.13927835528856683,0.029708781480509677,0.2124031007751938,0.9392892998208318,0.07819233047464524,0.025305016513840876,0.0236671882669292,30.0,unit
Electrical Grid,0.38921054678385314,0.2059305473764523,0.76,0.29333333333333333,0.10715494307197054,0.018704673303482272,0.1592072714950287,1.3275302347454327,0.04121450545891712,0.014917504790196556,0.01491900205957948,25.0,RY
Energy Efficiency,0.8609344509743325,0.4712662917064063,0.6466666666666666,0.0,0.056933077027926576,0.00630864585995955,0.061322351246736864,0.7892338707425114,0.013580075731537248,0.005154283840167966,0.005429648107554841,37.5,RY
