dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Iris_01,0.030459852676735913,0.00940376828911737,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0919463901038168,0.0,0.0,0.03,0.5089,0.7549494949494949,0.22090975135933977,0.631336210735061,0.04,0.02,0.5,0.0,0.0
Iris_02,0.019233646604462716,0.004995781056795274,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.07271315159321329,0.0,0.0,0.03,0.5013000000000001,0.7105050505050505,0.2017422455943526,0.5892882934357067,0.04,0.02,0.5,0.0,0.0
Iris_12,0.1863816899350432,0.06447841061392845,0.019145299145299128,0.37,0.13,0.0009836787371854052,0.04,0.01,0.035,0.22636994898433024,0.06999999999999995,0.02,0.19,0.8112,0.8371717171717172,0.2983074518680763,0.709623489426321,0.04,0.03,0.75,0.0,0.0
Wine_01,0.16650328317916893,0.038162138917419305,2.8515818761775186e-05,0.2076923076923077,0.0,0.0,0.0,0.0,0.023076923076923078,0.34574921799465774,0.038461538461538436,0.007692307692307693,0.36153846153846153,0.7798224852071006,0.9210494931425164,0.5871865113230111,0.7841381776975682,0.1,0.07692307692307693,0.7692307692307693,0.006155151565245931,0.016897441915043276
Wine_02,0.0490038230495961,0.00837361993451383,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.2512478819516083,0.0,0.0,0.1308411214953271,0.5336710629749324,0.8783283371539411,0.48400040441546066,0.7253220651738417,0.12149532710280374,0.08411214953271028,0.6923076923076923,0.007637125252723309,0.020916162489196144
Wine_12,0.2261494310119454,0.03398780873584917,3.2547004600688264e-05,0.25210084033613445,0.0,0.0,0.0,0.0,0.02100840336134454,0.32866726155940446,0.04201680672268904,0.0,0.33613445378151263,0.7368123720076265,0.929639652471158,0.572713714620522,0.8459683323638476,0.1092436974789916,0.08403361344537816,0.7692307692307693,0.027117072989938262,0.07202178352620847
Digits_01,0.054480681960141344,0.006293655399312358,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0016666666666666668,0.24835410544663733,0.0,0.0,0.13,0.612311111111111,0.9596655518394649,0.5162025993756445,0.888998692360364,0.21333333333333335,0.07,0.328125,0.0001282433591510701,0.0003554923569142332
Digits_17,0.08894793151201477,0.008528934843862055,0.0,0.19,0.0,0.0,0.0,0.0,0.0016666666666666668,0.28900767038529634,0.0,0.0,0.2633333333333333,0.7514555555555555,0.9812486064659978,0.6606598308267415,0.9049412263971117,0.21333333333333335,0.08,0.375,3.206012728240726e-05,8.888493844727563e-05
Digits_35,0.07360078675645942,0.011794808224517613,0.0,0.5966666666666667,0.0,0.0,0.0,0.0,0.0033333333333333335,0.3415403183741081,0.0033333333333332993,0.0033333333333333335,0.5366666666666666,0.7943222222222223,0.98,0.6261344449084318,0.8999441230326812,0.21333333333333335,0.09333333333333334,0.4375,0.0,0.0
Digits_49,0.1421479690448167,0.012400852968431282,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0033333333333333335,0.2886812256422861,0.0033333333333332993,0.0033333333333333335,0.21,0.6669555555555555,0.9678706800445931,0.5464444771499029,0.8616391212304787,0.21333333333333335,0.09,0.421875,0.0,0.0
