dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Iris_01,0.030459852676735913,0.00940376828911737,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0919463901038168,0.0,0.0,0.03,0.5089,0.7549494949494949,0.22090975135933977,0.631336210735061,0.04,0.02,0.5,0.0,0.0
Iris_02,0.019233646604462716,0.004995781056795274,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.07271315159321329,0.0,0.0,0.03,0.5013000000000001,0.7105050505050505,0.2017422455943526,0.5892882934357068,0.04,0.02,0.5,0.0,0.0
Iris_12,0.1863816899350432,0.06447841061392845,0.019145299145299128,0.37,0.13,0.0009836787371854052,0.04,0.005,0.035,0.22636994898433024,0.06999999999999995,0.024,0.19,0.8112,0.8371717171717172,0.2983074518680763,0.709623489426321,0.04,0.03,0.75,0.0,0.0
Wine_01,0.16650328317916893,0.038162138917419305,2.8515818761775186e-05,0.2076923076923077,0.0,0.0,0.0,0.0,0.023076923076923078,0.34574921799465774,0.038461538461538436,0.011538461538461539,0.36153846153846153,0.7798224852071006,0.9210494931425164,0.5871865113230111,0.7841381776975681,0.1,0.07692307692307693,0.7692307692307693,0.006155151565245931,0.016897441915043276
Wine_02,0.0490038230495961,0.00837361993451383,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.2512478819516083,0.0,0.0,0.1308411214953271,0.5336710629749324,0.8783283371539411,0.48400040441546066,0.7253220651738417,0.12149532710280374,0.08411214953271028,0.6923076923076923,0.007637125252723309,0.020916162489196144
Wine_12,0.2261494310119454,0.03398780873584917,3.2547004600688264e-05,0.25210084033613445,0.0,0.0,0.0,0.0,0.02100840336134454,0.32866726155940446,0.04201680672268904,0.009243697478991595,0.33613445378151263,0.7368123720076265,0.929639652471158,0.572713714620522,0.8459683323638475,0.1092436974789916,0.08403361344537816,0.7692307692307693,0.027117072989938262,0.07202178352620847
Digits_01,0.06207187754833998,0.006878500993418884,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.001388888888888889,0.24452467890239016,0.0,0.0,0.11944444444444445,0.6150154320987654,0.9752862890745899,0.6147245672096567,0.9058656445629442,0.17777777777777778,0.06111111111111111,0.34375,8.905708194073547e-05,0.00024688310085185794
Digits_17,0.09258140123238727,0.009532450900220688,0.0,0.48753462603878117,0.0,0.0,0.0,0.0,0.0013850415512465374,0.28309270819590726,0.0,0.0,0.22160664819944598,0.7601921409442838,0.9814712219144353,0.6350307630671161,0.9126692117673906,0.1772853185595568,0.0664819944598338,0.375,4.981700885287044e-05,0.0001381109491289667
Digits_35,0.09088064739534985,0.014380175303131213,0.0,0.6684931506849315,0.0,0.0,0.0,0.0,0.0027397260273972603,0.33723484170136947,0.002739726027397249,0.000273972602739726,0.4657534246575342,0.8005254269093638,0.9800240855035376,0.5988564576012664,0.9021198509995532,0.17534246575342466,0.07671232876712329,0.4375,5.4145124629423336e-06,1.5012084728094344e-05
Digits_49,0.14493322895044397,0.011675184975755275,0.0,0.6094182825484764,0.0,0.0,0.0,0.0,0.002770083102493075,0.28272999386968534,0.0027700831024930483,0.00110803324099723,0.16620498614958448,0.6664466970020181,0.9729916897506925,0.5764443644468394,0.8828452665809129,0.1772853185595568,0.07479224376731301,0.421875,5.5351665730896116e-06,1.534660302948687e-05
Digits_69,0.03042081219600248,0.00428203584781131,0.0,0.038781163434903045,0.0,0.0,0.0,0.0,0.0013850415512465374,0.2803376397481992,0.0,0.0,0.21052631578947367,0.6136309574051764,0.9531855955678671,0.5337981780814793,0.8405904926226819,0.1772853185595568,0.07202216066481995,0.40625,5.5351665730896116e-06,1.534660302948687e-05
Breast Cancer,0.22718432436798272,0.06378467174157797,5.683095248965702e-11,0.4833040421792619,0.012302284710017574,0.0011644877144263122,0.019332161687170474,0.006854130052724078,0.021968365553602813,0.33998108033909585,0.047451669595782064,0.009314586994727592,0.2548330404217926,0.8894925577818206,0.7410393821629249,0.26763462665660864,0.5688209213364194,0.05272407732864675,0.01757469244288225,0.3333333333333333,0.04736487759814023,0.12195970834082581
Ionosphere,0.5754094364358386,0.12360710403667373,0.0,0.8091168091168092,0.005698005698005698,0.005366983858664838,0.07407407407407407,0.043304843304843306,0.07122507122507123,0.37180741567782677,0.1310541310541311,0.14358974358974358,0.41595441595441596,0.9086939229389371,0.9012291412291412,0.45408362669617663,0.7237791022036575,0.09686609686609686,0.06837606837606838,0.7058823529411765,0.05817146455248434,0.14738124238733263
