dataset,c1,c2,c3,c4,l1,l2,s1,s2,s3,l3,s4,t2
Abalone,0.6998442366759029,0.5559338892532347,0.41833333333333333,0.19166666666666668,0.0781857211102831,0.011789670423127079,0.10483333333333335,0.6927877250002664,0.021325,0.009725571007424782,0.011301172240940092,75.0
Airfoil,0.3159587873040171,0.2233251575145881,0.885,0.26,0.1059230381101831,0.01832970206049381,0.09216178079824915,0.8019586629409068,0.010172489943340092,0.015179608615187204,0.013847340359962868,120.0
Appliances Energy,0.3307119823194325,0.14699060208549675,0.8783333333333333,0.10666666666666667,0.07286007404020937,0.015146501669532146,0.09206349206349207,1.4017069841362908,0.027531284118585707,0.01352935064269766,0.013996655830756835,21.428571428571427
Auto MPG,0.8749473981990712,0.7133312333041043,0.052763819095477386,0.05025125628140704,0.06676759150361863,0.007717583646210574,0.06499251577034107,0.5894778738036842,0.00778191404055133,0.006328753840608539,0.003646407681378533,56.857142857142854
Automobile,0.9137667452920913,0.4495107498964666,-0.4975124378109453,0.0,0.047455950552308133,0.004065405375312339,0.05869935363646491,1.2831100412398124,0.007804508860397114,0.0028956164553344673,0.0032729838833155758,8.375
Beijing PM2.5,0.30673238421559873,0.10741025077610429,0.755,0.11333333333333333,0.08763356673056898,0.015238561351482369,0.11633078880407123,1.1045860264473197,0.02875824641143678,0.013625823872884912,0.013854075440178859,54.54545454545455
Bias Correction,0.05771434983762519,0.03862627632602925,0.8047337278106509,0.7455621301775148,0.2881471510870326,0.12285072177785131,0.29511834319526625,0.43514413529066875,0.21875,0.12210937020496,0.08050623133257917,112.66666666666667
Bike Sharing,0.5011949123529192,0.19750842923815642,0.6766666666666666,0.215,0.12353778643824086,0.02699261664891374,0.1447520184544406,1.3998920450862533,0.042222800918997085,0.02395271206965592,0.018018661234940038,46.15384615384615
California Housing,0.6788654168812565,0.20369537583237607,0.5766666666666667,0.335,0.10540735275741377,0.020735054987750048,0.13611823840106033,0.5681548719660817,0.03684572259291842,0.016337470854506354,0.019371284619463636,75.0
Communities Crime,0.7683996092018766,0.32904484161483744,0.4116666666666667,0.0,0.0771157456401733,0.010741717337128165,0.12745,3.0536877884744977,0.034942666666666664,0.008283161567761488,0.012463618550566312,4.724409448818897
Computer Hardware,0.8940448940033681,0.5880320893074691,0.49282296650717705,0.0,0.02102197010401533,0.0011995736635331824,0.029858299595141698,0.6223048408050951,0.0027281701928078277,0.0007494248008199078,0.00202902810390668,23.22222222222222
Concrete,0.6025096819207723,0.2957414820474803,0.7066666666666667,0.20333333333333334,0.10678540450518441,0.01781677979914372,0.0981952576720236,0.7668040904802486,0.018415561367888054,0.014128253193478144,0.011295865160709479,75.0
Diabetes,0.5894156103498537,0.3440269508618633,0.5113122171945701,0.25565610859728505,0.13482072282029614,0.02775299490093021,0.1837301419489435,0.9537931466138004,0.058285765175141585,0.02311854112112962,0.021377545645398843,44.2
Electrical Grid,0.33840260667390737,0.20476953639686032,0.7583333333333333,0.185,0.09915104688538696,0.01595248077653884,0.14287162606070253,1.328515078124955,0.029702636532807507,0.01253990066166725,0.011580344671887972,50.0
