Features,Classifier,Single,Tied,Top3_Tied,Mean_Regret
full,DT,0.2476,0.4667,0.8476,0.036491
full,RF,0.3429,0.5429,0.8667,0.0219
full,GB,0.3143,0.5238,0.8857,0.031357
full,AdaBoost,0.2857,0.5143,0.8571,0.034936
full,Bagging,0.3048,0.5429,0.819,0.031781
full,SVM-linear,0.2762,0.4762,0.7524,0.045532
full,SVM-rbf,0.2857,0.5048,0.7429,0.042922
full,SVM-sigmoid,0.181,0.419,0.6762,0.053997
full,MLP-small,0.381,0.5333,0.8286,0.02118
full,MLP-large,0.381,0.5714,0.8476,0.02045
full,kNN,0.3143,0.581,0.8762,0.022376
full,NearCentroid,0.3048,0.3905,0.7333,0.074424
full,NaiveBayes,0.2667,0.381,0.7333,0.070599
full,LogReg,0.2571,0.4571,0.7524,0.046435
top5,DT,0.3048,0.4762,0.7524,0.036592
top5,RF,0.3238,0.5238,0.8286,0.026333
top5,GB,0.3429,0.5238,0.8667,0.027373
top5,AdaBoost,0.2952,0.4762,0.8,0.034555
top5,Bagging,0.3048,0.4857,0.8667,0.028869
top5,SVM-linear,0.181,0.381,0.6667,0.055984
top5,SVM-rbf,0.2667,0.419,0.7714,0.051872
top5,SVM-sigmoid,0.181,0.419,0.6762,0.053997
top5,MLP-small,0.3619,0.5333,0.8762,0.024409
top5,MLP-large,0.4095,0.6,0.8571,0.018219
top5,kNN,0.3714,0.619,0.9048,0.018317
top5,NearCentroid,0.3048,0.4571,0.7524,0.072068
top5,NaiveBayes,0.2667,0.3905,0.8476,0.07323
top5,LogReg,0.219,0.3524,0.6952,0.054687
top10,DT,0.2571,0.4571,0.8286,0.043487
top10,RF,0.381,0.5429,0.8571,0.020604
top10,GB,0.3238,0.5048,0.8762,0.039361
top10,AdaBoost,0.2857,0.4571,0.8286,0.036526
top10,Bagging,0.3048,0.4667,0.819,0.026142
top10,SVM-linear,0.2,0.3333,0.7238,0.062528
top10,SVM-rbf,0.2476,0.4762,0.7333,0.043458
top10,SVM-sigmoid,0.181,0.419,0.6762,0.05406
top10,MLP-small,0.3905,0.5619,0.8476,0.018635
top10,MLP-large,0.3238,0.5143,0.8381,0.02923
top10,kNN,0.3143,0.581,0.8476,0.01647
top10,NearCentroid,0.2667,0.381,0.7619,0.075346
top10,NaiveBayes,0.3333,0.4571,0.8,0.054241
top10,LogReg,0.2667,0.4,0.7429,0.049205
top15,DT,0.2857,0.5429,0.8095,0.035572
top15,RF,0.4095,0.5905,0.8762,0.021317
top15,GB,0.3048,0.5143,0.8381,0.034654
top15,AdaBoost,0.2952,0.5143,0.8,0.040793
top15,Bagging,0.3048,0.5048,0.8381,0.031158
top15,SVM-linear,0.2857,0.4762,0.7619,0.046933
top15,SVM-rbf,0.2857,0.4952,0.781,0.043635
top15,SVM-sigmoid,0.181,0.419,0.6762,0.053997
top15,MLP-small,0.381,0.5524,0.8857,0.02167
top15,MLP-large,0.381,0.5524,0.819,0.021995
top15,kNN,0.3048,0.4857,0.8381,0.044357
top15,NearCentroid,0.3238,0.4381,0.7333,0.074549
top15,NaiveBayes,0.3048,0.419,0.7714,0.067517
top15,LogReg,0.2857,0.4667,0.7619,0.045748
top20,DT,0.2571,0.5048,0.819,0.031116
top20,RF,0.3714,0.5619,0.8762,0.022878
top20,GB,0.3333,0.5333,0.8381,0.033272
top20,AdaBoost,0.3048,0.5143,0.819,0.033794
top20,Bagging,0.2952,0.5333,0.8381,0.03568
top20,SVM-linear,0.2762,0.4762,0.7524,0.046977
top20,SVM-rbf,0.3048,0.5143,0.7429,0.043872
top20,SVM-sigmoid,0.181,0.419,0.6762,0.053997
top20,MLP-small,0.3905,0.5524,0.8667,0.020673
top20,MLP-large,0.3619,0.5619,0.8381,0.02155
top20,kNN,0.2952,0.5238,0.819,0.036481
top20,NearCentroid,0.2952,0.4,0.7143,0.076825
top20,NaiveBayes,0.2857,0.3905,0.7429,0.070416
top20,LogReg,0.2667,0.4571,0.7429,0.044915
