Features,Classifier,Single,Tied,Top3_Tied,Mean_Regret
full,DT,0.6512,0.7791,0.9419,0.037505
full,RF,0.686,0.814,0.9419,0.019739
full,GB,0.6395,0.7558,0.9651,0.031581
full,AdaBoost,0.6512,0.7907,0.9535,0.02789
full,Bagging,0.6744,0.7791,0.9419,0.021073
full,SVM-linear,0.5465,0.7326,0.907,0.048531
full,SVM-rbf,0.5349,0.7093,0.8721,0.057036
full,SVM-sigmoid,0.5349,0.7209,0.8953,0.050609
full,MLP-small,0.5814,0.7674,0.9302,0.030966
full,MLP-large,0.5814,0.7442,0.9302,0.0434
full,kNN,0.4767,0.6744,0.8605,0.063797
full,NearCentroid,0.407,0.5465,0.6977,0.115636
full,NaiveBayes,0.6047,0.7558,0.907,0.016186
full,LogReg,0.5116,0.6977,0.8837,0.047035
top5,DT,0.6279,0.7558,0.9186,0.037916
top5,RF,0.6047,0.7442,0.9302,0.035179
top5,GB,0.6047,0.7326,0.9302,0.038152
top5,AdaBoost,0.6512,0.7209,0.9302,0.041799
top5,Bagging,0.6163,0.7442,0.9186,0.027979
top5,SVM-linear,0.5349,0.7326,0.8721,0.048718
top5,SVM-rbf,0.5,0.6977,0.907,0.049354
top5,SVM-sigmoid,0.5465,0.7209,0.907,0.048136
top5,MLP-small,0.5,0.6744,0.9419,0.050923
top5,MLP-large,0.4767,0.6744,0.9302,0.043222
top5,kNN,0.593,0.7326,0.9302,0.038369
top5,NearCentroid,0.4884,0.6047,0.7442,0.085357
top5,NaiveBayes,0.5814,0.7326,0.907,0.024912
top5,LogReg,0.5581,0.7442,0.8721,0.048421
top8,DT,0.6163,0.7209,0.9186,0.034507
top8,RF,0.6512,0.7674,0.9302,0.028576
top8,GB,0.6163,0.7326,0.9651,0.039391
top8,AdaBoost,0.6512,0.7442,0.9651,0.026397
top8,Bagging,0.6395,0.8023,0.9651,0.035275
top8,SVM-linear,0.5581,0.7442,0.907,0.048421
top8,SVM-rbf,0.4884,0.6977,0.9186,0.049927
top8,SVM-sigmoid,0.5349,0.7093,0.907,0.051937
top8,MLP-small,0.593,0.7326,0.9535,0.023064
top8,MLP-large,0.6279,0.7326,0.9535,0.033404
top8,kNN,0.6279,0.7674,0.9651,0.017258
top8,NearCentroid,0.4767,0.6047,0.8372,0.046971
top8,NaiveBayes,0.593,0.7326,0.9186,0.023852
top8,LogReg,0.5465,0.7326,0.8953,0.048635
top10,DT,0.6395,0.7674,0.9419,0.04444
top10,RF,0.686,0.8023,0.9419,0.020833
top10,GB,0.6512,0.7674,0.9651,0.028491
top10,AdaBoost,0.6512,0.7907,0.9535,0.030101
top10,Bagging,0.6395,0.7674,0.9535,0.036341
top10,SVM-linear,0.5581,0.7442,0.907,0.048421
top10,SVM-rbf,0.5698,0.7442,0.907,0.047476
top10,SVM-sigmoid,0.5698,0.7558,0.8721,0.048249
top10,MLP-small,0.593,0.6977,0.9419,0.040321
top10,MLP-large,0.6512,0.7093,0.9535,0.039932
top10,kNN,0.6279,0.7558,0.9651,0.014982
top10,NearCentroid,0.5,0.6047,0.8605,0.043875
top10,NaiveBayes,0.593,0.7442,0.907,0.020855
top10,LogReg,0.5116,0.7093,0.8953,0.049085
